	RGA1	AT2G04100	AT2G10940	AGP9	MYB7	HIS1.3	AT2G19310	TET2	HB6	SVP	AT2G28400	CYP707A2	AT2G31110	AT2G33830	EXL7	AT2G36220	ABI5	AT2G36630	PIP2B	EXP3	AT2G37750	LTP2	PIP2E	AT2G39980	HSPRO2	EXPA8	CAMBP25	ORS1	AT2G41760	MAX2	AT2G42900	IBH1	SSI2	ARL	PIP1B	GBF3	RS31a	TSPO	AGP26	AT3G04010	AT3G08030	ATERDJ3A	AT3G11690	AT3G11930	AT3G12050	AT3G14200	AT3G15770	AT3G17100	AT3G17520	AT3G03870	HB.1	AT3G03270	ETR2	AT3G23170	AT3G26510	AFP3	AT3G43430	CYP71A25	AT3G50560	PIP2A	EP3	AT3G54510	AT3G57010	AT3G57400	ARGOS	AT3G62650	ATG8B	AT4G05070	CYTC.2	HKT1	RHA1B	AT4G12510	AT4G12520	FLA2	XTH15	AT4G14270	AT4G14930	IAGLU	RALFL33	EXLB1	TIP2;2	G3Pp4	HSA32	AT4G25260	WES1	AT4G27280	YUC8	XTH24	XTH19	AT4G32480	ABF3	AT4G34770	AT4G35720	AT4G38860	ST2B	ST2A	AT5G10770	AT5G12940	AT5G13500	AT5G02760	AT5G14690	FDH	AT5G17780	AT5G18030	AT5G01740	SIS	AT5G02230	DIP2	AT5G19120	AT5G23870	ESE3	EBF2	GID1C	NAC6	AT5G43450	AT5G44260	HAT2	AT5G47420	TDT	PAT1	AT5G49170	AT5G49700	AT5G50335	AT5G50360	OLEO3	AT5G51440	HB52	PBP1	COL5	AT5G57760	AT5G59845	AT5G60840	OBP4	AT5G66590	UGT72E2	AT1G06980	SR30	AT1G09250	AT1G10140	AT1G11210	ATBETAFRUCT4	AT1G02470	RTFL17	AT1G13990	AT1G14890	AT1G16850	AT1G21680	AT1G22190	AT1G22910	AT1G26800	ASG4	YUC3	ERS2	DYL1	GA2OX2	AT1G32520	AT1G36060	AT1G36940	AT1G44830	CXE5	AT1G53180	ZF14	AT1G61667	AT1G62770	ENODL8	MGL	AT1G65490	AT1G66080	AT1G66540	AT1G68620	NAP	NRT1.2	AT1G70000	AT1G70985	AT1G71110	AT1G73480	BEE3	UBC16	AT1G75490	NAC032	ECT8	AT1G79520	SAG20	RTFL12	AT4G36648	AT1G29465	SAUR29
AT2G33830	0.7372	0.0067	-0.0525	-0.092	0.4806	2.7313	0.3621	0.0067	0.0462	0.757	-0.092	0.0857	-0.3486	0	-0.013	0.1449	0.8952	-1.6912	0.757	0.2831	1.527	1.0531	0.0067	-0.3092	0.757	-0.4079	-0.3881	-0.8817	0.4213	1.5862	0.0265	-0.2302	-1.8491	-0.783	1.1123	-0.0328	-0.9212	0.757	-0.3684	1.1913	-0.0525	-0.9804	-0.013	2.218	-0.7435	-0.625	-0.171	-0.5066	0.3029	2.2772	-0.6053	-0.4868	-0.7435	0.2634	0.2437	-0.1117	1.2308	-0.3092	0.2634	1.3098	0.0462	-0.8422	0.066	-0.7435	-1.0002	1.4282	-0.2499	4.0738	-1.6319	0.5595	3.7974	0.1252	-0.1117	-1.0791	0.6977	4.7056	-0.1117	-1.6714	0.066	1.2505	1.4677	-0.7238	0.3621	0.599	0.2437	-0.3092	-0.171	0.5003	-0.3684	1.5664	-0.5461	-1.395	-0.4079	-0.3486	-1.1778	0.7175	0.0462	-0.1512	-0.6645	-1.2766	-0.013	1.981	-2.2045	-1.2963	0.0462	1.5862	-0.7435	0.3029	3.0274	0.5003	-0.8027	-0.3684	2.0008	0.0462	0.6977	0.5201	-0.4079	-0.8225	0.599	-1.1186	-0.6448	-0.4868	-0.8027	0.7965	0.0462	-0.3092	0.3819	-0.2499	0.5793	-0.5066	-0.0328	-0.5856	0.7965	-0.9804	-0.9014	0.6977	-0.7435	0.2437	2.3562	3.1064	-0.8225	-0.8422	-0.2697	0.9149	1.8231	0.6385	4.7451	-0.0525	0.3819	3.8764	0.3621	-0.6645	-0.2697	17.4004	0.757	-0.8027	0.066	-0.171	-0.5461	-0.2697	-0.2894	0.5201	0.1844	1.4677	-0.0525	1.981	-0.2104	-0.2104	-0.5263	0.6385	0.4411	0.4213	-0.4079	-0.2104	-0.6053	0.6385	-0.3092	0.4213	0.9149	0.1647	0.4016	-0.9212	0.8557	-0.4276	0.6385	-0.862	-0.5066
EXL7	-0.625	-0.8027	-0.5658	-0.171	-0.5658	-0.4671	-0.1907	1.9021	0.0067	0.2437	-0.7238	-0.4079	0.678	-0.013	0	-0.7435	-0.5658	-1.5925	-0.3486	-0.9804	-0.3092	-0.6645	-1.1976	-0.4868	-0.1315	-0.171	-0.4671	0.0067	-0.6053	-0.3881	0.4016	-0.783	-0.862	-0.9409	-1.0002	-0.783	-0.013	-0.3881	-1.1778	-0.7632	0.4016	-0.3881	0.1055	-1.0989	-0.092	-0.8027	-0.2302	-0.3881	-0.4079	-0.7435	-0.3684	0.6977	-0.171	-1.4345	-0.3881	-0.8225	-0.7238	-0.1315	0.1647	-0.2894	0.3029	-0.3092	1.0531	0.5201	-0.9409	-0.2104	0.2437	0.0857	-1.1976	0.0067	-0.3289	-0.5066	-0.3881	1.0136	0.9149	0.3226	-1.3753	-0.1315	-1.1976	0.3226	1.1123	-0.862	-0.0722	-1.1778	-1.5135	-0.9014	-0.013	-1.2568	-0.5856	-0.092	-0.5658	-0.0722	2.0008	-0.4276	-0.704	-0.3289	3.1064	0.4411	-0.8225	-1.6517	0.9149	-1.0791	-1.2766	-0.013	-0.092	-0.6448	0.0067	-0.9607	0.2634	-1.7307	-0.6843	-0.9212	0.4016	-1.5727	-1.5135	-0.3289	-0.3684	-0.3092	-0.7238	0.1252	-0.2302	-1.9083	-0.5066	-0.0525	0.8162	0.2239	-0.4474	-0.9014	-0.2697	-1.7109	0.5003	0.3226	-0.4079	0.8162	1.7046	-1.0989	-0.5066	-1.2371	0.2042	-0.9014	-0.3684	-0.8225	-1.0594	-0.3881	1.0729	0.4213	0.066	-0.5856	1.0136	0.4411	-1.8294	-0.3092	-0.704	0.4608	0.1449	-0.1315	0.8754	-0.3289	-0.7632	-0.4671	0.7965	-1.0396	0.8754	1.7639	0.5201	-1.7307	0.1844	-0.2499	0.0462	-0.704	-0.5658	0.2042	-0.9409	0.4213	0.9347	-0.9014	-1.0594	0.3029	-1.0989	-0.862	-0.783	-0.7632	1.1518	-0.2104	-0.5263	-1.3555	0.1055
AT2G36220	0.599	-0.0722	0.7767	0.0462	2.3364	0.3424	0.7175	0.1449	2.0995	0.2437	2.1785	0.599	-0.3486	0.1449	-0.7435	0	0.6188	-0.1117	0.1055	0.9149	0.3226	0.6977	1.4677	1.4282	3.0274	0.7372	4.9425	0.8359	-0.4276	1.0136	-0.5066	2.1192	1.0334	3.0472	-0.4868	0.2831	0.0067	-0.2302	1.4282	1.0729	1.2111	0.1647	0.599	0.4016	-0.4868	2.6326	0.8557	1.4677	-0.4276	0.4213	1.7244	0.5003	1.6059	4.6858	-0.2697	0.3819	1.8626	-0.4079	-0.1315	0.1252	-0.1117	0.1055	-0.5263	0.3424	0.9347	-0.6448	0.4016	2.1192	0.3226	-0.7238	0.9544	-0.1315	0.0265	-0.1117	-0.6843	0.3226	0.3226	1.3887	0.9347	-0.0525	0.3029	-0.092	0.5595	-0.1117	2.9682	3.2249	-0.6053	1.0926	0.678	-0.4868	0.3621	1.1123	-0.013	0.3424	1.1123	1.2308	0.0067	0.6188	0.7965	2.0008	0.5201	1.7639	0.678	0.1844	0.1844	0.0857	0.3621	2.8892	-1.0199	0.1449	0.4806	2.751	0.9939	0.7767	0.7175	2.0205	2.139	-0.4276	1.1518	1.8823	0.6583	2.1587	1.0334	0.3819	-0.7238	0.4016	0.757	4.1528	-0.2499	1.7836	-0.3092	0.4608	0.7767	-0.3289	0.4806	-0.013	0.6188	0.5003	2.2377	3.1064	-1.3358	-0.0722	1.6059	1.0136	0.4806	-0.2104	1.7046	2.3562	0.6188	0.2437	-0.013	0.0462	2.1785	0.678	0.066	0.5003	0.2437	1.5072	1.3887	1.2505	1.2505	2.0995	1.1123	1.3295	0.0067	1.7244	-0.0328	1.527	-0.6843	1.6652	0.1449	0.3226	0.2634	1.7836	0.3819	1.4282	1.6257	1.2308	1.8823	1.1518	0.2042	-0.6053	0.5595	3.442	0.5003	0.4016	-0.4671
ABI5	-0.8225	0.2437	0.5201	-0.1512	-0.1117	1.7244	-0.4276	0.599	1.5467	-1.2173	0.4213	-0.704	-1.3358	0.8952	-0.5658	0.6188	0	-0.171	-1.2963	-0.2104	-0.8027	1.8428	-0.6645	0.0857	-0.3289	-0.6053	0.678	0.8754	0.0857	-0.5066	0.066	-0.9212	-0.4474	0.5201	-1.0002	1.3098	0.7767	2.4549	-0.7632	0.6188	0.3029	-0.2894	-0.3289	-0.3092	0.7175	0.4213	-0.7238	-0.6843	1.7836	0.6385	1.0531	0.7965	0.2437	-0.1315	-0.6645	0.6583	0.1844	-0.7238	-0.862	-1.6122	-0.4474	-0.4276	-0.1512	-1.1384	0.2831	0.3424	-0.3486	0.0857	0.3621	-0.3684	1.0531	-0.4868	-0.4276	-0.9804	0.1252	1.4282	-0.3881	0.3226	0.0857	-0.092	-2.6388	1.3098	0.1647	-0.8817	0.1844	-0.171	1.4282	-0.013	-0.2302	0.6385	1.4282	-0.4474	2.8102	-1.1581	-0.8422	1.0729	-0.1315	0.8162	0.3029	-0.8422	-0.1512	0.2831	0.8952	-0.8027	0.4213	1.1913	0.1844	0.9347	-0.8027	-1.2568	-0.6645	1.0136	-0.2697	-0.092	-0.2302	0.4411	-0.5461	-0.7435	0.2437	1.1123	-0.092	0.9544	-0.4868	3.9159	1.6849	-0.4079	0.4213	-0.5066	-0.092	0.4213	-0.6843	-0.0328	0.4213	0.0265	0.7175	1.2703	-0.2302	0.066	0.0857	2.0205	-2.2835	0.6583	-0.0722	0.5793	-0.1315	2.4549	0.7372	-0.5658	-1.0396	-0.2104	1.5664	0.9149	1.1716	1.7046	2.0403	-0.625	-0.0328	-0.1315	0.1844	0.2634	0.4806	0.599	0.1647	0.5595	-0.2104	0.9741	-1.2766	-0.8225	0.0857	-0.5461	0.3621	-0.3881	-0.5461	-0.9014	1.2703	0.1647	-0.3684	-0.6645	0.7767	1.1716	0.0067	-0.3486	0.599	-0.8817	0.599	-0.625	-1.1778
AT2G36630	0.8952	0.0857	0.9741	-0.9607	0.8162	-0.625	-0.4671	-0.4868	0.2437	0.5003	0.2437	1.8626	1.0531	-1.6912	-1.5925	-0.1117	-0.171	0	0.7175	1.0926	0.0857	-0.704	1.7244	1.8428	0.678	-0.013	0.1055	1.0136	-1.2173	-0.092	0.2634	-0.9607	2.218	1.3887	1.7441	-0.0328	-0.9014	0.8162	0.1647	0.3424	-0.2499	-0.2894	1.1716	-0.3486	0.4213	1.4282	-0.5066	-0.9014	-0.013	-0.013	0.4213	-1.1976	0.4806	1.3887	-0.625	0.1844	-0.8422	0.3226	3.4025	0.7372	0.757	0.678	1.369	1.5862	1.4282	-0.5066	0.3621	-1.1976	1.0136	0.2634	-0.6053	-0.013	-0.1907	0.1252	-0.2104	-1.5727	0.3621	3.6197	-0.013	-0.4079	0.6188	2.4351	-0.625	0.6977	0.2239	0.5003	-0.1117	0.3029	0.8557	-0.5461	0.6188	0.3819	-0.3289	0.8952	1.1123	-0.0722	0.4411	-0.6645	1.3295	0.599	-0.8422	1.1913	2.7905	-0.3486	0.757	0.7965	0.5201	1.1913	-1.4543	0.8754	0.8359	1.6454	0.9544	1.527	2.3956	0.1844	0.2239	-0.3486	2.3956	2.1587	0.2437	2.0008	0.7372	0.2437	-1.0396	-0.2894	-0.2302	0.3819	0.4016	1.1518	-0.9607	-0.8225	-0.2302	-0.4474	-0.5263	0.6583	0.4213	1.3493	-0.013	0.2239	0.7372	0.8754	1.4875	0.5003	-0.2499	-0.1315	-0.8027	0.4213	-0.8422	-1.0791	3.521	0.3621	0.9149	-2.086	-1.3555	3.4025	-0.1315	-0.9014	1.369	0.4411	0.2634	2.0403	0.2437	-0.783	0.1252	0.1844	1.2308	0.1449	1.7244	0.5793	2.3562	-0.9607	2.3167	2.3562	0.3226	2.4549	1.9613	-1.553	0.7372	0.3029	2.8497	2.1587	-1.0594	-0.1117	-0.0525	1.4875	-0.5263
PIP2B	0.4213	-0.783	0.3819	0.8557	2.3167	-0.5066	-0.2302	2.4944	0.3424	-0.2697	-0.5461	-0.2302	0.7767	0.757	-0.3486	0.1055	-1.2963	0.7175	0	0.3424	1.9218	1.3887	3.5013	0.5793	-0.171	0.5595	0.9939	-0.862	0.6977	0.8359	1.8231	0.3819	-1.1581	-0.7632	9.6808	0.8754	-1.2766	0.8557	1.369	1.7244	1.7441	0.0265	1.3295	2.1192	0.3621	-0.3289	-0.1117	0.6188	-0.0328	-0.4868	1.4282	-0.092	-0.2499	0.4213	0.8952	1.527	0.9544	-0.1907	1.1716	9.0293	0.8359	-0.4276	0.8359	1.1716	-1.0002	1.6257	-0.9409	0.6385	-0.9409	2.2969	0.6188	1.3493	0.9741	0.5398	0.678	-0.0525	1.1716	0.4213	0.6977	0.3029	9.4242	0.6385	-0.8817	0.4608	0.4213	-0.4276	0.2437	0.066	1.1123	0.678	3.3236	-0.4276	0.6583	0.9149	-0.2302	0.0857	1.1321	0.8359	-0.0328	-0.5461	0.8952	0.757	-0.9409	0.8952	0.9347	1.0926	0.5793	0.2437	0.5398	-0.7632	-0.1117	0.1055	1.6849	-0.5856	-0.2894	-1.1581	-0.1315	0.2239	2.2377	-0.625	-0.092	0.0067	0.8359	-0.0722	0.1449	0.2437	1.0926	-0.7435	1.448	-0.5066	-0.4671	0.6977	2.909	0.4806	0.2634	-0.1907	-0.0525	0.6188	0.8754	0.2042	1.8626	-0.1117	-1.0594	-1.2371	0.6583	-0.4671	0.757	1.7441	1.7244	0.2239	0.6385	0.4016	-0.3486	0.4806	-0.4474	0.2831	-0.5461	-0.8225	-0.0722	2.1192	-0.0525	1.4282	0.0067	0.0067	0.3621	0.757	0.6385	0.7175	-0.1315	0.9347	0.3226	0.7175	0.5003	-0.092	0.1252	1.1518	0.4016	0.4806	0.1449	0.4213	1.6652	0.3819	0.757	0.066	-0.4079	0.4213	0.5793
EXP3	2.6128	0.4016	2.6128	1.527	-0.1117	0.1252	0.2042	1.1123	1.6849	0.5201	-0.5461	0.5595	-1.0594	0.2831	-0.9804	0.9149	-0.2104	1.0926	0.3424	0	0.2634	3.5013	2.5141	0.9939	0.757	7.5683	0.5595	0.678	1.6849	1.29	4.6266	0.7965	-0.9409	0.6188	1.2703	-0.092	0.3621	-0.0328	2.4944	-0.1512	2.7115	-0.2104	-0.9014	0.066	-0.0328	-0.7238	1.1518	2.7905	-0.1315	1.0136	1.7441	-0.9212	1.3887	0.8359	0.757	0.2831	0.5201	0.2437	0.3424	0.0067	-0.5658	2.1587	-0.1512	1.1321	1.2703	1.9416	0.4806	0.599	-0.3486	0.8754	1.6849	0.5595	1.369	0.2831	-1.0199	0.757	2.1982	1.5467	0.757	-0.862	-0.2697	-0.1315	-0.5263	2.5931	0.9939	0.066	-0.625	-2.1847	1.29	0.1647	0.1647	3.5605	2.0008	2.4154	1.6059	0.7767	-0.5461	1.9021	-0.092	1.6849	2.9287	1.9416	1.4085	1.9613	-0.4276	1.4282	-0.2302	-0.5263	0.9741	0.2634	2.6128	1.1716	1.3098	0.9149	-0.4671	1.1321	0.2437	-0.9409	0.1252	1.6849	5.9494	2.2969	5.4361	-0.2499	0.8162	-0.1512	2.2377	0.2831	0.1252	2.3167	-0.4671	0.3226	0.5201	1.369	0.599	2.7115	-0.0525	2.3167	0.4213	0.4213	1.2703	-0.0328	-0.3881	0.1449	2.672	0.6583	0.599	0.7965	1.3493	0.4806	-0.013	0.678	1.8034	0.5398	-0.092	0.7767	0.2634	1.3098	1.2111	0.5793	1.7441	-0.8027	-2.1847	1.7639	3.7579	1.9218	-0.8817	0.4806	0.5793	0.757	0.6583	-1.7109	-0.7435	-0.6843	-0.2697	0.3029	2.5931	-1.7307	1.6454	-0.171	-0.3289	-0.5461	-0.4474	-0.3289	0.1252	1.6059	2.0205
AT2G37750	0.8557	0.9741	0.1252	0.1647	2.5338	0.9347	0.8754	1.1716	-0.3092	0.1449	0.4016	-0.3092	0.4806	1.527	-0.3092	0.3226	-0.8027	0.0857	1.9218	0.2634	0	-0.2104	0.1449	-0.4474	0.0067	0.066	0.4411	0.757	-0.7435	0.5398	-0.013	0.9347	0.0857	0.7372	0.4213	0.8557	-1.0396	1.7441	0.2437	0.9149	-1.5332	0.2437	1.3295	1.981	-0.6645	-0.1315	0.5793	1.1321	0.678	1.0136	0.2437	0.8754	1.29	1.1518	0.8162	0.8952	1.7836	-0.4671	0.8952	0.8162	0.4608	-0.0328	0.6583	0.9939	-0.0722	0.3819	1.3098	0.6977	0.5793	-0.2302	0.6583	1.2703	0.7767	-0.704	0.7767	0.5201	1.2703	0.1647	0.9347	-0.5263	1.7441	-0.2894	0.4411	0.0067	2.3167	-0.2894	-0.3486	1.7836	-0.9409	1.1716	-0.013	-0.1907	-0.5658	0.678	-0.4474	0.599	0.7372	-1.0989	-0.6448	0.0067	0.2437	0.6583	-0.4276	0.3424	1.2111	1.4875	-0.2302	0.599	0.7965	-0.092	-0.783	0.5201	1.1913	2.2574	0.4016	-0.6448	0.4213	-0.171	0.8359	-0.3289	-0.1907	1.4677	-0.1315	0.7372	0.0265	0.3819	2.3167	-0.3486	-0.0328	-0.625	1.6059	-0.7435	0.8162	-1.1778	1.6257	-0.2104	0.4213	0.3819	2.8695	0.5398	0.4806	1.369	1.4677	1.1123	1.2505	-0.5066	0.7965	0.2042	-0.1117	0.9741	-0.625	0.4806	0.4016	2.3364	0.4213	-0.013	0.7965	-0.8027	-0.5461	0.1844	0.757	3.0077	0.2634	1.3098	-0.171	1.1716	0.8162	0.1449	0.2042	3.442	1.1321	-0.1907	0.3424	-0.1512	-0.4868	-0.3092	0.4016	0.6385	-0.2697	0.3819	0.0462	0.0462	2.8695	-0.092	0.4213	0.6977	0.4806
LTP2	-0.1315	0.599	0.9544	1.6652	1.2111	0.6385	0.1844	1.7441	0.2831	-0.3486	0.6977	0.8162	-1.1186	1.0531	-0.6645	0.6977	1.8428	-0.704	1.3887	3.5013	-0.2104	0	0.3819	0.6385	-0.1907	0.9149	1.981	1.0729	0.5201	0.5793	0.6385	0.2831	-0.0722	0.3819	2.0403	0.4213	0.8952	1.4085	0.7767	0.7372	2.3956	0.9544	-0.0525	1.0136	0.4213	0.2634	-0.1315	0.0462	1.4677	-0.0722	1.6059	1.0729	1.448	0.2239	0.0857	1.5072	1.0334	0.0067	-0.0722	1.2308	0.7372	1.6652	1.29	-0.8027	0.8162	1.2308	-0.0328	0.1449	0.2239	1.3098	-0.171	-0.3289	0.4016	-0.7435	0.8952	1.0926	1.7441	0.9544	1.0926	0.8754	0.2831	0.4016	0.678	1.1716	2.3956	0.0067	0.8557	-0.0722	3.1854	-0.0525	1.0531	0.1844	3.9159	0.2042	0.7767	3.1064	-0.5461	0.7965	-0.4276	0.1252	1.3295	1.3493	0.4016	-0.0328	1.2703	1.29	0.0265	-0.2104	0.1647	-1.0989	1.3295	0.8952	-0.0328	0.5398	0.9347	0.5201	-0.704	-0.2499	0.757	-0.0525	-0.1512	2.4944	1.1321	1.3493	1.3098	1.0531	2.218	-0.171	0.066	-0.2104	0.3029	0.5003	0.066	0.5398	0.1252	0.3621	0.8359	0.4806	0.0462	-0.2894	-1.3358	0.4016	-0.862	0.1252	2.1982	1.527	-0.1117	0.678	-0.6053	0.5003	-0.3486	-0.171	1.8034	1.8034	0.5595	0.0857	1.7441	-0.1512	1.3295	1.5862	1.0729	-0.0722	-0.0722	1.9416	0.8952	2.6326	-0.2894	0.3029	-0.2697	0.5595	-0.2104	0.3029	-0.5263	-0.2894	0.757	0.3819	0.7372	-0.8027	1.4677	0.7372	0.1844	-0.3092	0.0067	-0.1512	-1.0002	0.3819	-0.5461
PIP2E	1.9021	-0.9212	3.9751	1.4282	0.9544	-1.2173	-0.3092	1.4677	2.8102	0.6583	1.7441	-0.0328	-0.8027	0.0067	-1.1976	1.4677	-0.6645	1.7244	3.5013	2.5141	0.1449	0.3819	0	0.757	-0.5658	0.5398	-0.3881	-0.783	1.4085	1.9021	2.0798	0.5793	1.1123	-1.5727	3.4025	0.9939	0.2042	0.1844	3.1459	1.1518	2.0403	-0.4079	0.7767	0.7175	0.2042	-0.3684	1.1913	2.1982	-0.2104	0.2437	1.6652	-0.7238	-0.7238	-0.6843	1.0926	1.0334	1.1321	0.2831	1.6454	4.133	0.2042	0.0857	-0.0525	1.3887	-0.2104	1.9416	0.0067	0.1844	0.8557	0.9347	0.1449	0.757	0.3029	1.9218	-0.013	-1.1186	1.0334	-0.3486	1.1913	-0.6448	1.9613	3.442	-0.6448	1.8823	1.0729	0.0462	-0.013	1.4282	0.9939	0.2634	2.5931	0.9939	-0.1117	1.6059	2.1785	0.5201	0.0462	0.7767	0.757	0.1449	0.9544	1.6257	-0.7435	1.4282	1.7244	-0.3486	-0.0328	-0.1512	0.1449	1.0334	0.757	-0.171	-0.3486	-0.1315	0.0067	0.9939	0.1449	0.3226	3.5605	1.4085	-0.1315	-0.2894	1.7046	-0.4671	-0.9212	-0.5066	-0.3881	-0.8027	2.751	0.5201	-0.9212	0.9544	3.2249	1.6849	-0.2499	2.0403	0.4016	2.1982	-0.1907	1.0334	1.527	1.0334	0.2042	0.2831	0.3029	1.9416	1.1913	0.4411	1.9613	-0.092	0.8952	-0.0722	0.1449	-0.5461	-0.1512	0.4806	-0.7435	1.4282	0.1647	1.0334	-0.704	0.2437	1.3098	0.1844	2.0403	1.0531	1.1321	0.066	0.7965	0.066	0.2437	-0.8422	-0.8422	-0.7632	-0.2697	1.8626	1.3098	0.599	0.599	0.1844	1.7244	0.9544	-0.5066	-0.9409	0.5003	1.2505	1.8231
AT2G39980	0.8952	-0.6053	-0.3486	-0.8225	0.7965	-1.6714	-0.013	-0.5066	-1.3358	-0.5461	1.2505	2.139	0.9347	-0.3092	-0.4868	1.4282	0.0857	1.8428	0.5793	0.9939	-0.4474	0.6385	0.757	0	3.3236	0.066	1.0136	3.442	0.9149	2.9287	0.678	2.6128	0.4806	4.2317	0.0857	1.0531	-0.1907	0.0462	-0.6843	0.9347	0.8557	-0.2894	2.9879	1.1716	1.29	0.599	0.7965	-0.2104	0.066	-0.5066	0.7175	-1.0002	2.6523	1.0334	2.2969	0.8952	0.6385	0.066	1.369	-0.6448	-0.3881	1.5072	-0.8422	1.4875	5.7915	1.9218	-0.013	0.8952	-0.4079	-0.4868	0.3621	-0.6843	-0.5658	1.2111	1.1518	-1.1384	1.3098	5.3571	0.3819	-0.5856	1.7639	1.3493	-0.3092	2.0403	1.7441	1.2703	0.9544	-0.092	1.7836	0.5595	0.7175	1.3493	2.7313	-1.4937	3.7184	2.3364	1.0136	0.5398	1.6059	2.6523	-0.4474	4.133	3.2643	-1.1778	2.0798	2.0798	-0.171	0.0067	1.6257	1.369	3.1459	5.4558	2.2377	3.6987	1.0334	5.9691	0.8557	-0.3092	1.5072	2.3759	1.4677	3.3828	2.6523	-0.013	0.5398	0.0067	3.3433	1.1913	2.3759	4.0738	-0.8027	0.6977	0.3819	1.4085	0.1252	0.6385	-0.2104	1.29	1.0136	1.5467	0.6188	0.5398	0.6385	1.4875	1.0334	0.5793	1.5072	2.7313	0.5595	0.678	0.6188	0.9741	5.4361	-0.0722	-0.704	0.1844	1.7639	0.7372	1.5467	3.7184	1.527	-0.2499	0.2634	0.8359	-0.6053	1.527	0.4213	0.7372	0.8754	0.4806	2.7905	1.29	1.6454	1.0531	0.0067	1.4677	3.5605	-0.2302	3.9159	1.3098	1.527	0.1449	0.4411	1.4677	0.2634	0.2437	-1.5925
HSPRO2	-0.013	0.599	-0.4474	-0.0722	1.3098	0.1252	0.0857	0.0067	-1.8294	0.9741	4.212	1.0136	0.8952	0.757	-0.1315	3.0274	-0.3289	0.678	-0.171	0.757	0.0067	-0.1907	-0.5658	3.3236	0	1.527	4.4094	-0.013	0.1647	2.3364	0.3621	0.3226	-0.3486	1.9218	0.9149	0.5398	0.2042	-0.3092	-1.2371	-0.4276	1.369	0.6977	-0.171	1.0334	1.448	1.1123	3.2051	1.5467	0.3424	2.0205	-1.2766	-0.5461	-0.2894	2.3364	3.7579	0.1449	1.0136	0.5595	0.2239	-0.1117	-1.2173	0.2437	0.1647	0.9741	0.4213	1.7046	0.2831	5.0412	-0.2499	-0.092	2.7313	0.1252	0.1055	-1.1976	0.2042	2.6326	0.3621	0.8162	0.8952	-0.2104	0.757	-0.2499	-0.092	0.5003	1.9218	6.9365	-0.3486	0.7175	0.9741	3.8764	0.678	-0.1315	0.0067	-0.3881	0.2634	0.5398	0.3819	1.369	-0.8225	-0.6645	-0.3289	0.9741	-0.5066	-1.0199	-0.4868	2.672	0.6977	1.7046	6.0086	-0.2104	2.06	0.1844	0.5201	1.2308	0.7175	3.2051	0.757	0.2437	1.1123	-0.2499	-0.3881	1.4677	0.3029	0.2042	-0.0328	-0.2499	0.4213	4.6661	1.2703	-0.6448	-0.8027	-1.2371	-1.2371	0.3819	-0.092	-1.7504	0.0462	1.1123	2.9682	1.2111	1.527	0.7372	2.3956	1.0531	0.5201	-0.4474	1.4677	5.515	0.0462	3.7777	0.2239	0.6188	0.1252	1.6849	0.6977	-0.4276	0.5201	-0.1117	0.2042	-0.6053	1.2308	0.7965	-1.5135	0.9149	-0.171	0.8557	0.7965	0.4213	0.0857	0.9149	4.291	-0.2894	-0.0328	-0.5461	-0.704	1.8823	0.0857	-0.1907	2.3956	0.2831	0.8754	0.7175	2.1587	5.5743	-0.4474	-0.3486	-0.9212
EXPA8	1.6257	-0.171	1.7639	1.4875	-0.7435	0.6385	0.1252	-0.4474	0.7175	1.4085	-0.6843	0.6188	0.7372	-0.4079	-0.171	0.7372	-0.6053	-0.013	0.5595	7.5683	0.066	0.9149	0.5398	0.066	1.527	0	-0.2697	-1.4543	2.06	0.4608	4.6266	2.3364	-0.3092	-0.2302	2.6523	-0.9212	-0.4868	-0.0328	2.6523	-1.1581	3.1064	-0.1907	-2.0071	2.5141	-1.3555	-0.783	1.4085	4.9228	-0.2104	1.7441	0.8359	-0.6053	-0.5066	0.7965	1.1123	0.0857	-0.013	1.4085	0.2437	0.2437	-1.2568	2.1982	-0.5658	1.4677	0.0462	1.0729	0.0265	0.1844	-0.013	1.6257	2.2377	1.2505	2.0995	0.1055	-1.4345	0.5201	1.2308	2.0403	1.29	-0.5856	-0.0722	-1.3161	0.2239	2.8102	0.9939	0.3819	1.2703	-2.0268	2.1785	-0.7632	-0.3684	3.6395	0.5003	6.2258	1.4282	0.7175	0.4213	2.8497	-1.1778	3.3631	1.5072	1.1518	-0.0722	4.3305	-1.6122	2.0403	0.678	-0.8027	-0.013	0.3621	5.8112	0.1647	0.0067	0.4016	0.7965	1.5862	2.0008	-0.8817	0.757	3.2841	4.6661	0.6188	5.5545	-0.3486	-0.3092	-0.7238	0.4016	0.5201	0.9544	1.0136	-0.2894	-0.2302	0.0265	4.4687	0.6977	2.4351	-1.0199	4.133	0.678	-0.9607	2.2377	0.8557	0.8359	-0.013	0.5398	-0.3486	0.678	-0.2499	1.9613	0.6977	0.1055	2.06	0.0265	-0.3684	-1.2371	0.5201	-0.1117	1.7244	0.0857	-1.4937	1.0136	-0.8027	-2.1255	1.8231	3.6592	0.5003	-0.0525	-0.8225	0.6188	0.8754	1.448	-1.2371	-0.2499	0.5398	-0.9409	0.678	1.8428	-0.6053	1.4677	-0.4276	0.2042	-0.4474	-1.0989	-0.4079	-0.9409	3.1854	3.9159
